EVTDESC1000109101;Я очень ленив и не хочу заниматься своими обязанностями..;;;;;;;;;;;x
EVTOPTA1000109101;Сон - звучит хорошо.;;;;;;;;;;;x
EVTOPTB1000109101;Я, пожалуй, пойду съем что-нибудь вкусное.;;;;;;;;;;;x
EVTOPTC1000109101;В любом случае, я довольно хорошо выполнил свою работу.;;;;;;;;;;;x
EVTOPTD1000109101;Я просто боюсь влиять на других, дабы остаться честным.;;;;;;;;;;;x
EVTDESC1000109102;Видимо, я заснул прошлой ночью во время тяжелой работы. Наверное, я переутомился.;;;;;;;;;;;x
EVTOPTA1000109102;Возможно, мне следует сделать перерыв…;;;;;;;;;;;x
EVTOPTB1000109102;Нет! Я не достаточно упорно работаю!;;;;;;;;;;;x
EVTOPTC1000109102;Я буду молить [Root.Religion.GetRandomGodName] о силе.;;;;;;;;;;;x
EVTOPTD1000109102;В этом нет смысла, я чувствую себя столь же сильным, как и всегда!;;;;;;;;;;;x
EVTDESC1000109103;В поисках дешевых товаров на летней ярмарке вы замечаете полный монет кошелек, лежащий на земле. Никто не заметил его, а владельца, кажется, не было рядом. И вам очень захотелось поднять его…;;;;;;;;;;;x
EVTOPTA1000109103;Да! Деньги! Это моё, всё моё!;;;;;;;;;;;x
EVTOPTB1000109103;Я должен найти владельца кошелька и вернуть его.;;;;;;;;;;;x
EVTOPTC1000109103;Я слишком ленив, чтобы поднять его.;;;;;;;;;;;x
EVTOPTC1000109177;Я собирался выяснить, кто украл мой сладкий рулет!;;;;;;;;;;;;;x
EVTOPTD1000109177;Хм... Давайте проведем суд.;;;;;;;;;;;;;x
EVTOPTD1000109103;Во имя справедливости, я не могу украсть это.;;;;;;;;;;;x
EVTDESC1000109104;Просматривая товары на летней ярмарке, вы сталкиваетесь с маленькой, милой девочкой нищенкой. Её тяжелое положение печалит ваше сердце, и вы хотите помочь ей любым возможным способом.;;;;;;;;;;;x
EVTOPTA1000109104;Отдать девочке свой кошелек.;;;;;;;;;;;x
EVTOPTB1000109104;Отвезти девочку в местный храм, где священнослужители позаботятся о ней.;;;;;;;;;;;x
EVTOPTC1000109104;Принесите ей остатки еды со вчерашнего пира, немедленно!;;;;;;;;;;;x
EVTOPTD1000109104;Нанять её в качестве служанки. Это лучший выход для неё.;;;;;;;;;;;x
EVTDESC1000109105;Хотя я страдаю от недуга, я не откажусь от одного кусочка. Я не думаю, что это достойно внимания, я абсолютно доволен своим нынешним состоянием.;;;;;;;;;;;x
EVTOPTA1000109105;Я буду счастлив, что бы ни случилось на моем пути.;;;;;;;;;;;x
EVTOPTB1000109105;Это воля [Root.Religion.GetRandomGodName], в конце концов!;;;;;;;;;;;x
EVTOPTC1000109105;Пф, это горе - ничто.;;;;;;;;;;;x
EVTOPTD1000109105;Все страдают, в конце концов. Зачем беспокоиться об этом?;;;;;;;;;;;x
EVTDESC1000109106;Я хочу улучшить свою репутацию в [Root.GetTitle]. Мне будет намного легче достигнуть своих целей, поэтому я хочу прослыть Великим правителем из-за…;;;;;;;;;;;x
EVTOPTA1000109106;Моей славы и чести.;;;;;;;;;;;x
EVTOPTB1000109106;Моей доброты и справедливого правления.;;;;;;;;;;;x
EVTOPTC1000109106;Моего благочестия и набожности.;;;;;;;;;;;x
EVTOPTD1000109106;Страха, который захватил сердца моих подданных и врагов.;;;;;;;;;;;x
EVTDESC1000109107;Тишина окутала мою комнату, когда я приказал казнить заключенного. Этот приказ я отдал ради своей прихоти, пусть даже это и было несколько сурово.;;;;;;;;;;;x
EVTOPTA1000109107;Он... он это заслужил, верно?;;;;;;;;;;;x
EVTOPTB1000109107;Я буду... я буду просто молчать, как и все остальные.;;;;;;;;;;;x
EVTDESC1000109108;По всем городам и деревням крестьяне поют песни во славу вашего правления. Ваше умелое руководство превратило страну в процветающее и зажиточное государство.;;;;;;;;;;;x
EVTOPTA1000109108;Хорошо.;;;;;;;;;;;x
EVTOPTB1000109108;Правосудие слепо!;;;;;;;;;;;x
EVTDESC1000109109;Из-за вашего гнева никто при дворе не осмеливается критиковать вас за что-нибудь.;;;;;;;;;;;x
EVTOPTA1000109109;Я управляю своей страной так, как мне нравится.;;;;;;;;;;;x
EVTOPTB1000109109;Хороший правитель слушает других. Может быть, мне следует держать себя в руках.;;;;;;;;;;;x
EVTOPTC1000109109;Но... Я хочу, чтобы люди верили и любили меня.;;;;;;;;;;;x
EVTOPTD1000109109;На самом деле мои враги тоже боятся меня!;;;;;;;;;;;x
EVTDESC1000109110;Будучи очень терпеливым человеком, я всегда пытаюсь выслушать  мнения других перед принятием решения, потому что…;;;;;;;;;;;x
EVTOPTA1000109110;Каждое мнение имеет недостатки. Можно также выслушать их всех.;;;;;;;;;;;x
EVTOPTB1000109110;Каждый имеет право быть услышанным.;;;;;;;;;;;x
EVTOPTC1000109110;Я такой великий [Root.GetTitle].;;;;;;;;;;;x
EVTDESC1000109111;Я начал замечать, что все лучше меня. Это не справедливо! Я хочу быть столь же хорошим, как все остальные - нет, еще лучше, чем все остальные! Почему я не лучший во всём?;;;;;;;;;;;x
EVTOPTA1000109111;Я бесполезен.;;;;;;;;;;;x
EVTOPTB1000109111;Я недостаточно стараюсь.;;;;;;;;;;;x
EVTOPTC1000109111;Никто не заботится обо мне, вот почему.;;;;;;;;;;;x
EVTOPTD1000109111;Может быть, мне не следует беспокоиться об этом.;;;;;;;;;;;x
EVTDESC1000109112;Недавно умер обедневший рыцарь, оставив после себя сироту. Мне искренне жаль несчастное дитя, у которого нет семьи. Я постараюсь найти ребенку хорошее место для житья.;;;;;;;;;;;x
EVTOPTA1000109112;Отправить ребенка жить с одним из моих верных рыцарей.;;;;;;;;;;;x
EVTOPTB1000109112;Привести ребёнка в храм.;;;;;;;;;;;x
EVTOPTC1000109112;Разместить ребёнка при моем дворе.;;;;;;;;;;;x
EVTDESC1000109113;Вы выставили себя полным дураком на тренировке, поступив как настоящий трус перед другими воинами.;;;;;;;;;;;x
EVTOPTA1000109113;Я ничего не могу с собой поделать!;;;;;;;;;;;x
EVTOPTB1000109113;Это не должно смущать меня!;;;;;;;;;;;x
EVTOPTC1000109113;На самом деле это тактический прием. ЭТО ЛОВУШКА!;;;;;;;;;;;x
EVTDESC1000109114;Сегодня,  когда я обходил округу города, член Темного Братства попытался убить меня, но я одолел дурака голыми руками. Сейчас он сидит в моей темнице, ожидая наказания. Между тем, мой двор хвалит меня за храбрость.;;;;;;;;;;;x
EVTOPTA1000109114;Любой способен на это.;;;;;;;;;;;x
EVTOPTB1000109114;Даже Темное Братство боится меня!;;;;;;;;;;;x
EVTOPTC1000109114;Освободите ассасина.;;;;;;;;;;;x
EVTOPTD1000109114;Я буду мучить его ЛИЧНО…;;;;;;;;;;;x
EVTDESC1000109116;Я не лучше кого-либо. Я всегда мог узнать что-нибудь от каждого - даже самому последнему нищему или глупому болвану есть, что сказать мне. Сегодня, во время поезда в соседний город, один из крестьян преподал мне мудрый урок.;;;;;;;;;;;x
EVTOPTA1000109116;Скромность - единственный способ лучше понять мир.;;;;;;;;;;;x
EVTDESC1000109117;Уродливая женщина бросается на вас.;;;;;;;;;;;x
EVTOPTA1000109117;Мне все равно, какая она. Я уложу любую женщину! Не старую, разумеется.;;;;;;;;;;;x
EVTOPTB1000109117;После всего этого мне следует обзавестись правилами…;;;;;;;;;;;x
EVTOPTC1000109117;Так или иначе, я не могу терпеть её уродства.;;;;;;;;;;;x
EVTOPTD1000109117;Когда гаснет свет, все женщины прекрасны.;;;;;;;;;;;x
EVTDESC1000109118;Одна из моих новых служанок - красивая молоденькая девица, и я не могу выбить её образ из головы. Другие мужчины говорят мне, что я должен смириться со своими естественными побуждениями, но я не соглашаюсь – все мои мысли должны быть обращены на управление государством, и я не уступлю даже сейчас.;;;;;;;;;;;x
EVTOPTA1000109118;Она может и хороша, но это не должно отвлекать меня.;;;;;;;;;;;x
EVTOPTB1000109118;[Root.Holder.Religion.GetRandomGodName] даст мне сил против её чар!;;;;;;;;;;;x
EVTOPTC1000109118;Если я не вижу её, то как же мне восхищаться ею?;;;;;;;;;;;x
EVTOPTD1000109118;Я не люблю женщин.;;;;;;;;;;;x
EVTDESC1000109119;Я голоден. Что мне следует сегодня съесть?;;;;;;;;;;;x
EVTOPTA1000109119;Сладкие рулеты! Сладкие рулеты!;;;;;;;;;;;x
EVTDESC1000109120;Некоторые люди говорят, что моя сдержанность не позволяет должным образом насладиться жизнью, и я должен перестать быть таким ханжой.;;;;;;;;;;;x
EVTOPTA1000109120;Они просто дураки.;;;;;;;;;;;x
EVTOPTB1000109120;Возможно, в их словах есть смысл.;;;;;;;;;;;x
EVTOPTC1000109120;С чего это? Я всё время наслаждался жизнью!;;;;;;;;;;;x
EVTDESC1000109121;Я думаю, я только что видел ассасина Тёмного Братства за теми деревьями. Странный, темный силуэт, а за этой листвой... это кинжал? Это кинжал!;;;;;;;;;;;x
EVTOPTA1000109121;Минуточку…  Я просто вижу вещи… Я думаю…;;;;;;;;;;;x
EVTOPTB1000109121;Судя по ракурсу света, это просто искажение моей тени.;;;;;;;;;;;x
EVTOPTC1000109121;БЕЕЖИИИМ!;;;;;;;;;;;x
EVTDESC1000109122;Я такой доверчивый дурак. Сегодня одному из моих придворных удалось сыграть со мной шутку!;;;;;;;;;;;x
EVTOPTA1000109122;Пора мне переставить быть таким доверчивым.;;;;;;;;;;;x
EVTOPTB1000109122;Я не возражаю.;;;;;;;;;;;x
EVTOPTC1000109122;Наказать негодяя хлыстом!;;;;;;;;;;;x
EVTDESC1000109123;С годами я научился не показывать свое истинную сущность. Я всегда должен обманывать их и управлять ими, и в то же время я не знаю, правильно ли это. Но это необходимо.;;;;;;;;;;;x
EVTOPTA1000109123;Опасно, когда люди слишком много знают о вас..;;;;;;;;;;;x
EVTOPTB1000109123;Они не поймут меня.;;;;;;;;;;;x
EVTOPTC1000109123;Они подумают, что я безумен.;;;;;;;;;;;x
EVTOPTD1000109123;Никто не захочет услышать голоса, которые в моей голове.;;;;;;;;;;;x
EVTDESC1000109124;Делая покупки на летней ярмарке, вы замечаете, что один из продавцов продает слишком мало товаров. После наблюдения за ним, вы понимаете, что он ужасно рекламирует свой товар и вы критикуете его за это.;;;;;;;;;;;x
EVTOPTA1000109124;Тебе стоит рекламировать лучше, иначе разоришься и станешь крестьянином.;;;;;;;;;;;x
EVTOPTB1000109124;Я куплю твой товар.;;;;;;;;;;;x
EVTOPTC1000109124;У меня есть парочка советов касательно рекламы твоего товара…;;;;;;;;;;;x
EVTDESC1000109100;Некоторые называют меня тираном, другие чудовищем, но все мои подданные боятся меня, и я думаю, что это - хорошо.;;;;;;;;;;;x
EVTOPTA1000109100;Кровь для кровавого трона.;;;;;;;;;;;x
EVTOPTB1000109100;Государству нужная твердая рука.;;;;;;;;;;;x
EVTOPTC1000109100;Пусть я тиран, но я справедлив.;;;;;;;;;;;x
EVTDESC1000109125;Мне нужно навестить своего больного господина, чтобы провести одну сделку. Но я правда не хочу идти к больному человеку, хотя кто знает, что за даэдра мог овладеть им?;;;;;;;;;;;x
EVTOPTA1000109125;Однако, я должен завершить это дело.;;;;;;;;;;;x
EVTOPTB1000109125;Я не пойду. Не хочу, не буду.;;;;;;;;;;;x
EVTTOOLTIP1000109125;[Root.GetTitledFirstName] может подцепить болезнь сюзерена;;;;;;;;;;;x
EVTDESC1000109127;Болезнь длится слишком долго, поэтому вам трудно работать. Вместо этого вы лежите в постели, чихая и кашляя. Чем же заняться больному?;;;;;;;;;;;x
EVTOPTA1000109127;Я хочу работать ещё больше!;;;;;;;;;;;x
EVTOPTB1000109127;Мне осталось только молить [Root.Religion.GetRandomGodName] о спасении.;;;;;;;;;;;x
EVTOPTC1000109127;На самом деле это хороший повод, чтобы отдохнуть.;;;;;;;;;;;x
EVTOPTD1000109127;Нет... Я должен... Попытаться работать...;;;;;;;;;;;x
EVTOPTE1000109127;По крайне мере не придется иметь дело с раздражающими меня людьми.;;;;;;;;;;;x
EVTDESC1000109129;Я все ещё болен и потерял аппетит. Похоже, мне теперь придется есть кашу, чтобы почувствовать себя лучше...;;;;;;;;;;;x
EVTOPTA1000109129;Каша. Это то, что целый день едят крестьяне?;;;;;;;;;;;x
EVTOPTB1000109129;Нет! Я должен... есть... нормальную... вкусную... еду... вместо этого...;;;;;;;;;;;x
EVTOPTC1000109129;Каша? Пожалуйста, сэр, я хочу ещё каши!;;;;;;;;;;;x
EVTTOOLTIP1000109128;[Root.GetTitledFirstName] рвет от обжорства и попадает в нелепое положение.;;;;;;;;;;;x
EVTDESC1000109133;Вы просто шли по лестнице, тщательно измеряя свои шаги из-за слепоты. Внезапно вы случайно переступаете и падаете вниз.;;;;;;;;;;;x
EVTOPTA1000109133;Ай!;;;;;;;;;;;x
EVTOPTB1000109133;Это не очень больно.;;;;;;;;;;;x
EVTDESC1000109134;С тех пор, как я ослеп, меня не покидают мысли, что люди за моей спиной вытворяют нечто ужасное. Что делать, если этот слуга - убийца с ножом? Что делать, если моя супруга водит меня за нос? Что делать, если крестьяне смеются надо мной, когда я объезжаю округу?;;;;;;;;;;;x
EVTOPTA1000109134;Нужно быть осторожнее.;;;;;;;;;;;x
EVTOPTB1000109134;Мои друзья всегда готовы поддержать меня.;;;;;;;;;;;x
EVTOPTC1000109134;[Root.Religion.GetRandomGodName] защитит меня от зла.;;;;;;;;;;;x
EVTOPTD1000109134;Никто не посмеет тронуть меня.;;;;;;;;;;;x
EVTDESC1000109135;С тех пор, как я потерял зрение, у меня было полно времени обдумать всю свою будущую жизнь. Это меня угнетает. Во-первых, в отличие от тех, кто уже родился слепым и никогда не знал о красоте мира, я больше не могу видеть эту красоту - яркие цвета, богатые и пышные образы. Я скучаю по зрению.;;;;;;;;;;;x
EVTOPTA1000109135;Мне всё печальнее и печальнее...;;;;;;;;;;;x
EVTOPTB1000109135;Я должен попытаться вспомнить, как всё выглядит.;;;;;;;;;;;x
EVTOPTC1000109135;Возможно, мне следует петь или сочинять стихи.;;;;;;;;;;;x
EVTDESC1000109161;Два моих охранника спорят о том, чьи последователи лучше: Альмсиви или Даэдра. Один говорит, что Альмсиви - просто властолюбивые смертные данмеры. Другой говорит, что Альмсиви, в отличие от Даэдра, более понятны. Наконец, один из охранников спрашивает меня, “А вы что думаете, [Root.GetTitledFirstName]?”;;;;;;;;;;;x
EVTOPTA1000109161;От Даэдра могут быть плохие последствия, но по крайне мере они будут.;;;;;;;;;;;x
EVTOPTB1000109161;На мой взгляд, Альмсиви более представительны.;;;;;;;;;;;x
EVTOPTC1000109161;Ни то, ни другое. Все эти божества порочны.;;;;;;;;;;;x
EVTOPTD1000109161;У каждого божества есть свои достоинства, будь это Даэдра, Альмисиви, человек, мер...;;;;;;;;;;;x
EVTDESC1000109162;В один прекрасный день во время поездки вы и ваша свита наткнулись на маленький, разрушенный памятник древности. Присмотревшись, вы решаете, что мраморные колонны и каменная кладка монумента относятся к временам Первой или Меретической Эры.;;;;;;;;;;;x
EVTOPTA1000109162;Отвратительно. В те времена эльфы правили нашими предками!;;;;;;;;;;;x
EVTOPTB1000109162;Мы должны восстановить этот памятник, как символ моей власти.;;;;;;;;;;;x
EVTOPTC1000109162;Однажды, все наши памятники будут лежать в руинах, как и этот.;;;;;;;;;;;x
EVTDESC1000109163;Сегодня купцы из далеких стран прибыли на местный рынок и уже разложили свой товар: вкусные фрукты, медовые орехи, кексы, кондитерские изделия и прочую выпечку. Особенно торговцы рекламируют свои сладкие рулеты.;;;;;;;;;;;x
EVTOPTA1000109163;Я куплю фруктов и миндаля!;;;;;;;;;;;x
EVTOPTB1000109163;Я люблю сладкие рулеты! Я куплю их все!;;;;;;;;;;;x
EVTOPTC1000109163;Я просто немножко попробую.;;;;;;;;;;;x
EVTOPTD1000109163;Кухня каджитов особенно восхитительна. Я куплю немного вкусностей.;;;;;;;;;;;x
EVTDESC1000109165;Во время ночной грозы в ваш замок прибывает грязный авантюрист. Он говорит, что путешествует уже в течение многих лет в поисках счастья и приключений, но решает, что из вас выйдет достойный господин. Таким образом он предлагает вам свои услуги.;;;;;;;;;;;x
EVTOPTA1000109165;Я не хочу, чтобы мне служил такой скверный воин.;;;;;;;;;;;x
EVTOPTB1000109165;Очень хорошо! Но сначала прими ванну...;;;;;;;;;;;x
EVTDESC1000109170;После долгих месяцев трудной борьбы вашим стражникам удалось раздавить шайку бандитов возле столицы. Однако, это стоило большой цены - из-за ваших беспощадных методов многие местные жители погибли в этой борьбе.;;;;;;;;;;;x
EVTOPTA1000109170;Обеспечьте их семьи компенсацией.;;;;;;;;;;;x
EVTOPTB1000109170;Цель оправдывает средства!;;;;;;;;;;;x
EVTOPTC1000109170;Подвергните пыткам любого, кто осмелится противится моей воле.;;;;;;;;;;;x
EVTOPTD1000109170;Почтим павших героев.;;;;;;;;;;;x
EVTDESC1000109171;Во время путешествия по округе, ваша свита находит маленькую заброшенную крепость. Любопытство берёт вверх, и, зайдя внутрь, вы тут же попадаете в засаду бандитов. Но вместо того, чтобы убежать, вы решили атаковать бандитов в лоб, размахивая мечом направо и налево!;;;;;;;;;;;x
EVTOPTA1000109171;Получи, сволочь!;;;;;;;;;;;x
EVTOPTB1000109171;Нет, подождите, я не смогу справиться в одиночку!;;;;;;;;;;;x
EVTDESC1000109172;Женщина кричит и проклинает вас, когда её тащат к плахе. "Моя семья отомстит за мою смерть и даже призовет Тёмное Братство! Ты тиран!" Игнорируя её крики, вы киваете палачу, и он одним махом отделяет её голову от тела.;;;;;;;;;;;x
EVTOPTA1000109172;Любой, кто идет против моей власти, заслуживает смерти.;;;;;;;;;;;x
EVTDESC1000109173;Люди всегда смеются надо мной из-за моих странностей.;;;;;;;;;;;x
EVTOPTA1000109173;Меня не волнует, что они говорят.;;;;;;;;;;;x
EVTOPTB1000109173;Я накажу тех, кто осмеливается оскорблять меня!;;;;;;;;;;;x
EVTOPTC1000109173;Следует уважать все мнения.;;;;;;;;;;;x
EVTOPTD1000109173;Пусть лучше говорят правду, чем лгут.;;;;;;;;;;;x
EVTDESC1000109174;Сегодня я хочу купить какой-нибудь новый и экзотический наряд на местном рынке. Какие цвета мне подходят?;;;;;;;;;;;x
EVTOPTA1000109174;Красный показывает мою силу.;;;;;;;;;;;x
EVTOPTB1000109174;Синий смотрится безмятежно и величественно!;;;;;;;;;;;x
EVTOPTC1000109174;Как насчет желтого - золотого и успешного?;;;;;;;;;;;x
EVTDESC1000109175;Вы и ваша свита нашли полупохороненного в грязи скелета. Вы опечалены тем, что этот человек не получил надлежащие похороны, поэтому решаете сами похоронить скелета как следует. Этой же ночью его дух приходит к вам во сне. Поблагодарив за доброту, он говорит о местонахождении его зарытых сокровищ.;;;;;;;;;;;x
EVTOPTA1000109175;Так... он сказал:  идти пятьсот шагов на север...;;;;;;;;;;;x
EVTOPTB1000109175;Было бы бесчестно украсть такое сокровище.;;;;;;;;;;;x
EVTDESC1000109176;Во время патрулирования дорог вы и ваша свита сталкнулись с ужасной картиной: весь караван торговцев убит бандитами или некромантами - даэдра знает кем! Но вместо того, чтобы похоронить купцов, вы решили бесчестно забрать всё их оставшееся имущество.;;;;;;;;;;;x
EVTOPTA1000109176;Что? Они же мертвы.;;;;;;;;;;;x
EVTOPTB1000109176;Я... Я возьму совсем малость.;;;;;;;;;;;x
EVTDESC1000109177;Я случайно подслушал, как один из моих охранников рассказывает другому о моем ужасном внешнем виде. Понимая, что я рядом, охранник извиняется. Однако меня действительно не заботит то, что он думает о моей внешности.;;;;;;;;;;;x
EVTOPTA1000109177;У правителя есть более важные проблемы.;;;;;;;;;;;x
EVTOPTB1000109177;Только мелочные заботятся о своей внешности.;;;;;;;;;;;x
EVTDESC1000109178;Ваша резиденция начинает разваливаться. Будучи весьма трудолюбивым, вы не можете терпеть, пока ситуация с вашим жилищем будет ухудшаться дальше, поэтому желаете сами восстановить здание.;;;;;;;;;;;x
EVTOPTA1000109178;Приведите для помощи парочку местных ребят.;;;;;;;;;;;x
EVTOPTB1000109178;Наймите нескольких мастеров издалека.;;;;;;;;;;;x
EVTDESC1000109179;Сегодня важный день. Я должен завершить свою работу над... о, смотрите, на улице грязекраб! Взгляните на него! Ужасная тварь, не так ли? Право... а, подождите... о боги, даэдра побери, я такой рассеянный! Ещё раз, что я собирался сделать?;;;;;;;;;;;x
EVTOPTA1000109179;Пойти и молиться [Root.Holder.Religion.GetRandomGodName].;;;;;;;;;;;x
EVTOPTB1000109179;Скушать сладкий рулет.;;;;;;;;;;;x
EVTOPTC1000109179;Найти того, кто украл мой сладкий рулет.;;;;;;;;;;;x
EVTOPTD1000109179;Собрать двор.;;;;;;;;;;;x
EVTDESC1000109005;Я выхожу в этот мир!;;;;;;;;;;;x
EVTOPTA1000109005;Ааах!;;;;;;;;;;;x
EVTDESC1000109006;После рождения ребенка, вы чувствуете, как истощается ваша энергия и пропадают силы. Всё потемнело, и даже голоса людей, кричащих вокруг вас, исчезают в небытие. Скоро вы начнете свой путь в Этериус...;;;;;;;;;;;x
EVTOPTA1000109006;О [Root.Religion.GetRandomGodName], пусть живет мой ребенок!;;;;;;;;;;;x
EVTDESC1000109007;Я умерла вскоре после родов.;;;;;;;;;;;x
EVTOPTA1000109007;Может [Root.Religion.GetRandomGodName] смилуется над моей душой.;;;;;;;;;;;x